"nursery","date","species","batch_id","batch_id2","volume","calliper300","rcd","height_m","sizeindex","logSI","logvol","logH","logD","logRCD","climate_region"
"dph","2016-08-10","peltophorum_pterocarpum","pp_73","pp_73-peltophorum_pterocarpum",20,26.86,38.925,2.541,68.25126,1.83411067338307,1.30102999566398,0.405004665050369,1.4291060083327,1.59022862124016,"Northern Territory"
"dph","2016-08-10","peltophorum_pterocarpum","pp_73","pp_73-peltophorum_pterocarpum",20,30.475,37.56,2.416,73.6276,1.86704064423951,1.30102999566398,0.383096929949094,1.48394371429042,1.57472558359407,"Northern Territory"
"dph","2016-08-10","peltophorum_pterocarpum","pp_73","pp_73-peltophorum_pterocarpum",20,28.395,36.065,2.872,81.55044,1.91142630858974,1.30102999566398,0.458184435570263,1.45324187301948,1.55708593652608,"Northern Territory"
"dph","2016-08-10","peltophorum_pterocarpum","pp_73","pp_73-peltophorum_pterocarpum",20,24.045,31.875,2.87,69.00915,1.83890667814382,1.30102999566398,0.457881896733992,1.38102478140983,1.50345019344201,"Northern Territory"
"dph","2016-08-10","peltophorum_pterocarpum","pp_73","pp_73-peltophorum_pterocarpum",20,23.26,31.2,2.764,64.29064,1.80814774909459,1.30102999566398,0.441538038702161,1.36660971039243,1.49415459401844,"Northern Territory"
"dph","2016-08-10","peltophorum_pterocarpum","pp_73","pp_73-peltophorum_pterocarpum",20,30.415,42.13,3.288,100.00452,2.00001962966696,1.30102999566398,0.516931808868013,1.48308782079894,1.62459145912685,"Northern Territory"
"dph","2016-08-10","peltophorum_pterocarpum","pp_73","pp_73-peltophorum_pterocarpum",20,26.735,31.155,2.278,60.90233,1.78463390817944,1.30102999566398,0.357553719743082,1.42708018843636,1.49352775559078,"Northern Territory"
"dph","2016-08-10","peltophorum_pterocarpum","pp_73","pp_73-peltophorum_pterocarpum",20,21.415,34.73,2.63,56.32145,1.75067382722235,1.30102999566398,0.419955748489758,1.33071807873259,1.54070478331076,"Northern Territory"
"dph","2016-08-10","peltophorum_pterocarpum","pp_73","pp_73-peltophorum_pterocarpum",20,30.1,37.435,2.645,79.6145,1.90099217196505,1.30102999566398,0.422425676371205,1.47856649559384,1.57327783746406,"Northern Territory"
"dph","2016-08-10","peltophorum_pterocarpum","pp_73","pp_73-peltophorum_pterocarpum",20,30.625,40.1,2.727,83.514375,1.92176123531422,1.30102999566398,0.43568513794163,1.48607609737259,1.60314437262018,"Northern Territory"
"dph","2016-08-10","peltophorum_pterocarpum","pp_73","pp_73-peltophorum_pterocarpum",20,27.68,35.025,2.749,76.09232,1.88134082562819,1.30102999566398,0.439174739843468,1.44216608578472,1.54437814395781,"Northern Territory"
"dph","2016-08-10","peltophorum_pterocarpum","pp_73","pp_73-peltophorum_pterocarpum",20,28.145,33.465,3.129,88.065705,1.94480681614241,1.30102999566398,0.495405563146193,1.44940125299622,1.52459082933952,"Northern Territory"
"dph","2016-08-10","peltophorum_pterocarpum","pp_73","pp_73-peltophorum_pterocarpum",20,25.655,31.16,2.816,72.24448,1.85880466946148,1.30102999566398,0.449632650470075,1.4091720189914,1.49359744900053,"Northern Territory"
"dph","2016-08-10","peltophorum_pterocarpum","pp_73","pp_73-peltophorum_pterocarpum",20,30.145,37.795,2.945,88.777025,1.94830058732449,1.30102999566398,0.46908529912312,1.47921528820137,1.57743434967749,"Northern Territory"
"dph","2016-08-10","peltophorum_pterocarpum","pp_73","pp_73-peltophorum_pterocarpum",20,23.6,31.77,2.403,56.7108,1.75366577377401,1.30102999566398,0.3807537708039,1.37291200297011,1.50201721482715,"Northern Territory"
"dph","2016-08-10","peltophorum_pterocarpum","pp_73","pp_73-peltophorum_pterocarpum",20,23.18,30.33,2.722,63.09596,1.80000155249489,1.30102999566398,0.434888120867316,1.36511343162758,1.48187241031066,"Northern Territory"
"dph","2016-08-10","syzygium_armstrongii","sa_3","sa_3-syzygium_armstrongii",100,30.36,41.67,3.068,93.14448,1.96915712250039,2,0.486855355276943,1.48230176722344,1.61982350045728,"Northern Territory"
"dph","2016-08-10","syzygium_armstrongii","sa_3","sa_3-syzygium_armstrongii",100,31.45,40.855,3.239,101.86655,2.00803159779146,2,0.510410948010177,1.49762064978129,1.61124521483483,"Northern Territory"
"dph","2016-08-10","syzygium_armstrongii","sa_3","sa_3-syzygium_armstrongii",100,29.555,39.195,2.664,78.73452,1.89616518418317,2,0.425534220498263,1.47063096368491,1.59323066878301,"Northern Territory"
