"species","nursery","volume","sla_tree.mean","sla_tree.se","climate_region","genus_species","variety","origin","leaf_type"
"corymbia_tessellaris","plants direct",45,85.0611202007981,3.81772467015806,"Queensland","corymbia_tessellaris",NA,"native","evergreen"
"cupaniopsis_anacardioides","logans",2000,81.0645561338033,3.46418104186045,"Queensland","cupaniopsis_anacardioides",NA,"native","evergreen"
"cupaniopsis_anacardioides","ibrox",45,81.7811031975937,4.35591180747526,"Queensland","cupaniopsis_anacardioides",NA,"native","evergreen"
"cupaniopsis_anacardioides","logans",3000,84.1672067020808,6.40240019898381,"Queensland","cupaniopsis_anacardioides",NA,"native","evergreen"
"cupaniopsis_anacardioides","darwin plant wholesalers",100,85.8618477070606,4.99682827235779,"Northern Territory","cupaniopsis_anacardioides",NA,"native","evergreen"
"cupaniopsis_anacardioides","darwin plant wholesalers",20,85.7559723222763,2.84957996300862,"Northern Territory","cupaniopsis_anacardioides",NA,"native","evergreen"
"cupaniopsis_anacardioides","heynes",27,51.876736987058,2.58077335288382,"South Australia","cupaniopsis_anacardioides",NA,"native","evergreen"
"diospyros_humilis","darwin plant wholesalers",45,91.9625353593235,3.75483100764211,"Northern Territory","diospyros_humilis",NA,"native","evergreen"
"elaeocarpus_eumundii","ibrox",45,62.1845031669855,1.64121791328263,"Queensland","elaeocarpus_eumundii",NA,"native","evergreen"
"elaeocarpus_eumundii","pallara",100,66.5307733068668,1.69558112273134,"Queensland","elaeocarpus_eumundii",NA,"native","evergreen"
"elaeocarpus_reticulatus","established tree transplanters",45,65.0429986905635,1.62320064888599,"Victoria","elaeocarpus_reticulatus",NA,"native","evergreen"
"elaeocarpus_reticulatus","logans",100,73.05423780374,2.79357047783569,"Queensland","elaeocarpus_reticulatus",NA,"native","evergreen"
"elaeocarpus_reticulatus","greenstock",45,65.4131582160852,0.630998009181664,"Queensland","elaeocarpus_reticulatus",NA,"native","evergreen"
"elaeocarpus_reticulatus","greenstock",27,85.9280233250132,19.0350735961755,"Queensland","elaeocarpus_reticulatus",NA,"native","evergreen"
"elaeocarpus_reticulatus_primadonna","mangrove mountain",100,70.1130893618752,1.6144796347633,"New South Wales","elaeocarpus_reticulatus","primadonna","native","evergreen"
"elaeocarpus_reticulatus_primadonna","mangrove mountain",400,84.5407079293728,2.21660327250656,"New South Wales","elaeocarpus_reticulatus","primadonna","native","evergreen"
"elaeocarpus_reticulatus_primadonna","mangrove mountain",75,68.5268310101974,1.81561257072543,"New South Wales","elaeocarpus_reticulatus","primadonna","native","evergreen"
"eucalyptus_caesia","arborwest",35,41.4264339804788,1.34337789540349,"Western Australia","eucalyptus_caesia",NA,"native","evergreen"
"eucalyptus_caesia","freshford",45,27.5205245324804,1.54981618964197,"South Australia","eucalyptus_caesia",NA,"native","evergreen"
"eucalyptus_erythrocorys","benara",90,35.5321597942234,1.05371675588503,"Western Australia","eucalyptus_erythrocorys",NA,"native","evergreen"
"eucalyptus_gomphocephala","ellenby tree farm",400,56.5785187995019,2.76010799613803,"Western Australia","eucalyptus_gomphocephala",NA,"native","evergreen"
"eucalyptus_gomphocephala","ellenby tree farm",150,51.3721126161946,2.53584973341195,"Western Australia","eucalyptus_gomphocephala",NA,"native","evergreen"
"eucalyptus_grandis","trees impact",200,79.0399367167507,1.95777534871316,"New South Wales","eucalyptus_grandis",NA,"native","evergreen"
"eucalyptus_leucoxylon","freshford",20,56.510883588632,2.36561390975208,"South Australia","eucalyptus_leucoxylon",NA,"native","evergreen"
"eucalyptus_leucoxylon_eukydwarf","adelaide advanced",18,45.0763547698685,3.12149333775915,"South Australia","eucalyptus_leucoxylon","eukydwarf","native","evergreen"
"eucalyptus_leucoxylon_megalocarpa","heynes",27,50.8469744878977,1.36353115002803,"South Australia","eucalyptus_leucoxylon","megalocarpa","native","evergreen"
"eucalyptus_leucoxylon_megalocarpa","mt william",18,69.7760706136575,2.13318778600439,"Victoria","eucalyptus_leucoxylon","megalocarpa","native","evergreen"
"eucalyptus_leucoxylon_megalocarpa","adelaide advanced",18,54.1633677738415,2.08935576316585,"South Australia","eucalyptus_leucoxylon","megalocarpa","native","evergreen"
"eucalyptus_leucoxylon_megalocarpa","mt william",45,55.5272208786974,2.28983315574765,"Victoria","eucalyptus_leucoxylon","megalocarpa","native","evergreen"
"eucalyptus_leucoxylon_megalocarpa","mt william",100,72.3714441672977,2.82381654819361,"Victoria","eucalyptus_leucoxylon","megalocarpa","native","evergreen"
"eucalyptus_leucoxylon_rosea","freshford",100,39.5472844660084,0.89999706340358,"South Australia","eucalyptus_leucoxylon","rosea","native","evergreen"
"eucalyptus_leucoxylon_rosea","heynes",27,51.810798330943,1.47278974883431,"South Australia","eucalyptus_leucoxylon","rosea","native","evergreen"
"eucalyptus_leucoxylon_rosea","benara",30,50.9352603852588,4.90678034895005,"Western Australia","eucalyptus_leucoxylon","rosea","native","evergreen"
"eucalyptus_leucoxylon_rosea","adelaide advanced",18,40.791042647274,1.70668244100465,"South Australia","eucalyptus_leucoxylon","rosea","native","evergreen"
"eucalyptus_leucoxylon_rosea","benara",90,36.2489286631574,0.720316885877628,"Western Australia","eucalyptus_leucoxylon","rosea","native","evergreen"
"eucalyptus_leucoxylon_rosea","speciality",100,45.4063508333785,3.54758729412146,"Victoria","eucalyptus_leucoxylon","rosea","native","evergreen"
"eucalyptus_leucoxylon_rosea","speciality",35,50.8427131566067,3.66153915598629,"Victoria","eucalyptus_leucoxylon","rosea","native","evergreen"
"eucalyptus_leucoxylon_rosea","speciality",50,50.6944858853831,1.36120463989821,"Victoria","eucalyptus_leucoxylon","rosea","native","evergreen"
"eucalyptus_melliodora","mt william",18,92.6327492238247,4.9304924350136,"Victoria","eucalyptus_melliodora",NA,"native","evergreen"
"eucalyptus_nicholii","benara",90,91.3495617744325,12.2754143728661,"Western Australia","eucalyptus_nicholii",NA,"native","evergreen"
"eucalyptus_propinqua","greenstock",27,143.555514270841,6.22682219569197,"Queensland","eucalyptus_propinqua",NA,"native","evergreen"
"eucalyptus_resinifera","greenstock",27,108.788668081202,3.76636453506212,"Queensland","eucalyptus_resinifera",NA,"native","evergreen"
"eucalyptus_reticulatus","speciality",100,68.5753394269442,0.860976834657574,"Victoria","eucalyptus_reticulatus",NA,"native","evergreen"
"eucalyptus_reticulatus","speciality",50,66.3910647058251,1.26546824429176,"Victoria","eucalyptus_reticulatus",NA,"native","evergreen"
"eucalyptus_rudis","benara",30,62.2532641038891,1.86983825893624,"Western Australia","eucalyptus_rudis",NA,"native","evergreen"
"eucalyptus_rudis","benara",500,54.2160011317003,1.0199114218157,"Western Australia","eucalyptus_rudis",NA,"native","evergreen"
"eucalyptus_rudis","benara",200,61.9864602730346,2.56059248011549,"Western Australia","eucalyptus_rudis",NA,"native","evergreen"
"eucalyptus_rudis","ellenby tree farm",200,66.5739281657092,2.09780322652745,"Western Australia","eucalyptus_rudis",NA,"native","evergreen"
"eucalyptus_scoparia","heynes",27,79.8073355679329,4.90670756258692,"South Australia","eucalyptus_scoparia",NA,"native","evergreen"
"eucalyptus_sideroxylon","andreasens",100,39.9581809296455,1.16337011619026,"New South Wales","eucalyptus_sideroxylon",NA,"native","evergreen"
"eucalyptus_sideroxylon","speciality",50,47.5564852419873,1.27686418606303,"Victoria","eucalyptus_sideroxylon",NA,"native","evergreen"
"eucalyptus_sideroxylon","arborwest",200,38.8093579176282,5.87120147506238,"Western Australia","eucalyptus_sideroxylon",NA,"native","evergreen"
"eucalyptus_sideroxylon","andreasens",45,49.2806240514495,2.36170235151518,"New South Wales","eucalyptus_sideroxylon",NA,"native","evergreen"
"eucalyptus_sideroxylon_rosea","ellenby tree farm",75,38.8590852928425,2.67991354198714,"Western Australia","eucalyptus_sideroxylon","rosea","native","evergreen"
"eucalyptus_sideroxylon_rosea","mt william",100,45.6845235842519,2.04660733689866,"Victoria","eucalyptus_sideroxylon","rosea","native","evergreen"
"eucalyptus_sideroxylon_rosea","mt william",18,81.7648932222462,2.35895095184537,"Victoria","eucalyptus_sideroxylon","rosea","native","evergreen"
"eucalyptus_sideroxylon_rosea","freshford",40,41.1569816122272,1.03648837625555,"South Australia","eucalyptus_sideroxylon","rosea","native","evergreen"
