nursery,date,species,batch_id,volume,tree,height,diameter1,diameter2,rcd1,rcd2
adelaidetreefarm,4/11/2016,liquidambar_formosana,LF_45,45,8,313.6,36.09,37.74,53.65,56.26
adelaidetreefarm,4/11/2016,liquidambar_formosana,LF_45,45,9,372,37.22,38.75,45.02,43.69
adelaidetreefarm,4/11/2016,liquidambar_formosana,LF_45,45,10,302.7,35.42,35.09,52.41,52.7
adelaidetreefarm,4/11/2016,liquidambar_formosana,LF_45,45,11,312,33.78,33.92,50.06,49.95
adelaidetreefarm,4/11/2016,liquidambar_formosana,LF_45,45,12,295.5,35.23,34.85,51.17,49.75
adelaidetreefarm,4/11/2016,liquidambar_formosana,LF_45,45,13,242.8,35.23,35.25,51.33,52.69
adelaidetreefarm,4/11/2016,liquidambar_formosana,LF_45,45,14,284.6,32.63,33.44,46.8,46.59
adelaidetreefarm,4/11/2016,liquidambar_formosana,LF_45,45,15,331.6,36.72,35.33,59.7,59.77
adelaidetreefarm,4/11/2016,liquidambar_formosana,LF_45,45,16,323.7,33.66,36.38,57.46,55.25
adelaidetreefarm,4/11/2016,liquidambar_formosana,LF_45,45,17,322.7,37.17,34.77,57.47,54.31
adelaidetreefarm,4/11/2016,liquidambar_formosana,LF_45,45,18,373.1,38.84,38.17,53.57,54.45
adelaidetreefarm,4/11/2016,liquidambar_formosana,LF_45,45,19,320.6,34.72,35.16,52.79,49.82
adelaidetreefarm,4/11/2016,liquidambar_formosana,LF_45,45,20,324,37.16,37.5,56.53,53.73
adelaidetreefarm,4/11/2016,liquidambar_formosana,LF_45,45,21,313.5,37.61,37.72,50.17,50.19
adelaidetreefarm,4/11/2016,liquidambar_formosana,LF_45,45,22,292.3,35.7,38.05,53.38,54.41
adelaidetreefarm,4/11/2016,liquidambar_formosana,LF_45,45,23,302.6,37.64,37.23,49.62,51.28
adelaidetreefarm,4/11/2016,liquidambar_formosana,LF_45,45,24,305.2,31.79,33.81,44.89,45.37
